INWINDOW,INFOCUS,ID,Total Emp-Purpose-HBO,Retail-Purpose-HBO,Service-Purpose-HBO,Basic-Purpose-HBO,TotEnroll-Purpose-HBO
1,0,1,198595.7093655859,29666.705110756553,134881.42755185653,34047.57670297285,92791.21569688115
1,0,2,201556.3737851625,29800.907098026666,136820.08254652956,34935.384140606235,91585.33330768299
1,0,3,182404.39951672536,26972.330834896435,123380.78496812818,32051.283713700737,82329.23337831628
1,0,4,184010.03509394667,27536.55127622128,123152.5987603654,33320.88505735997,83361.23399436062
1,0,5,139730.15265503258,21071.413510496208,92993.39560728187,25665.343537254514,64265.686506764454
1,0,6,145257.19490718402,21847.975571421004,96897.76012214377,26511.45921361926,66237.64774774862
1,0,7,142088.04470859503,21258.951445417893,94837.03195965177,25992.061303525355,63906.22343074886
1,0,8,138648.2238801978,20788.453774566784,92486.17398465912,25373.59612097188,62543.71818409016
1,0,9,142886.290940252,21379.21332526538,95390.7800693074,26116.29754567922,64160.053402170044
1,0,10,145960.9325848076,21850.45443150896,97480.31315190389,26630.165001394762,65688.39069598909
1,0,11,145783.86239610406,21752.455721453724,97474.3166209038,26557.090053746546,64892.72949418062
1,0,12,171219.18955494545,25316.976388160554,115062.98342687718,30839.22973990772,75298.77805386804
1,0,13,158545.4776497243,23363.660476781846,106878.71434536639,28303.10282757606,69211.34734085019
1,0,14,180945.60416846367,26353.570878286475,122342.05827813553,32249.975012041643,77943.64754950939
1,0,15,202067.50875462752,29360.903406226236,136839.59492344936,35867.01042495195,87274.76551426518
1,0,16,209100.18174707826,30333.048296224406,141816.69524091025,36950.43820994359,91065.5014639307
1,0,17,178648.31368194416,26028.63041206911,121189.97521533334,31429.708054541694,78965.12255871043
1,0,18,176181.32692709204,25779.189856210232,119503.22040588011,30898.91666500171,78876.52683716641
1,0,19,205485.27834834965,29822.082930269542,139241.32976321378,36421.86565486635,90117.96306793441
1,0,20,206306.23985377984,30100.11512616322,140160.73482527418,36045.38990234245,92351.17227492141
1,0,21,162438.62350645263,23851.12166764999,111269.64918195679,27317.852656845873,74372.5903111824
1,0,22,204340.72019106796,29928.83024161249,140670.18740619198,33741.70254326347,94314.58726832428
1,0,23,214027.5261225933,31434.380581865233,147761.37393003082,34831.771610697244,100973.30024109266
1,0,24,179818.02650326185,26247.794139760157,123656.36732543694,29913.86503806478,82835.78931364106
1,0,25,162336.77828905487,23910.696263838938,112462.49585671852,25963.586168497353,79606.24545493709
1,0,26,222248.3188061848,32834.88996719602,154459.0331396515,34954.39569933733,110673.1903420743
1,0,27,169033.0135225999,24664.07931400481,116955.31110625505,27413.62310234002,79914.03234231775
1,0,28,165811.68411871442,24305.583076061434,115264.64428481818,26241.45675783481,80651.36049576702
1,0,29,218053.4909522766,31936.028899129877,148943.89644224953,37173.565610897196,98737.95530938252
1,0,30,161514.53141563683,23578.016544932623,111521.75128350967,26414.763587194568,76901.18874508032
1,0,31,188776.76226737784,27436.225536130984,130992.98792147294,30347.548809773918,89840.93015549227
1,0,32,220502.1916760679,32229.314592925963,150697.71635292933,37575.16073021258,99504.0369396249
1,0,33,199991.4265867663,29101.7071704242,137852.92106272405,33036.79835361803,93028.30631652189
1,0,34,154268.75852352253,22442.41581062123,106773.10132577005,25053.241387131216,73433.78507978297
1,0,35,207405.9835873478,29638.154493293878,144481.31078789048,33286.51830616339,94347.8116589315
1,0,36,220776.27729617772,31981.90679640562,151339.9914617589,37454.37903801322,98585.4315809382
1,0,37,199482.61034077872,29333.886165249685,135046.56109474506,35102.16308078403,88486.09520897947
1,0,38,205563.80820881538,29985.412351308616,139722.67397203122,35855.721885475505,89840.08888629191
1,0,39,196310.04686847978,28682.882160152072,133303.00603660106,34324.15867172667,85557.64408976371
1,0,40,223878.46079185655,31999.76262404167,156131.10924217722,35747.58892563769,101343.32242705191
1,0,41,226017.81597579946,32455.34256702973,156265.63735765283,37296.83605111689,101644.84431321465
1,0,42,168357.29743252596,24200.477374799226,115877.57028818663,28279.249769540107,74771.91932100746
1,0,43,218189.61782934653,31591.170812830285,149148.06817689608,37450.378839620185,95340.21303907035
1,0,44,205390.60037617842,29762.531236483217,140030.6407891792,35597.428350516035,88925.32022939903
1,0,45,201177.47772086976,29187.576809485552,137148.55278040364,34841.348130980594,87106.79325849553
1,0,46,191209.68209018777,27797.979185590724,130273.69002564336,33138.0128789537,82956.67463318599
1,0,47,218490.86192479223,31234.793380508174,151810.26664355551,35445.80190072855,98422.8349931525
1,0,48,216464.7960260698,30948.55628157217,149924.90515182156,35591.334592676045,96205.4289799628
1,0,49,201290.66601513827,29172.14975962119,137186.65346198448,34931.86279353262,86892.29669572083
1,0,50,190579.88129198801,27636.357015528614,129792.6132629162,33150.911013543155,82460.08406534907
1,0,51,214574.90766865408,30577.557737657928,149406.86745371183,34590.48247728433,96713.29021188995
1,0,52,214754.62639966415,30679.490353064873,148554.58461222268,35520.551434376575,95364.26958043627
1,0,53,200254.34511511764,28943.84224193539,136909.0794404605,34401.42343272177,87022.8663719986
1,0,54,202001.51221984086,29243.863461931243,137734.79713646122,35022.851621448426,87347.55325526689
1,0,55,203111.6222429918,29334.656703991106,138874.07322585312,34902.89231314757,87913.07335562295
1,0,56,199934.48478961305,28881.914723164507,136696.41458856894,34356.15547787963,86359.70356732525
1,0,57,203543.61082613457,29367.321009873725,139088.02241217176,35088.26740408907,88055.4068617677
1,0,58,199072.83727995976,28780.62739265425,135865.148365361,34427.061521944444,86160.49590775586
1,0,59,202700.4600077028,29235.746075506562,138454.46629534647,35010.24763684976,87281.16255497222
1,0,60,204081.49118593714,29450.499972308648,139265.7023915702,35365.288822058275,87765.93236260311
1,0,61,171879.75339643782,24658.16765786646,119217.62064301339,28003.96509555797,78196.14086240991
1,0,62,172637.17611095918,24898.24417525007,119547.30246790963,28191.629467799485,79171.30299799622
1,0,63,210856.57299848984,30263.179828057157,145489.5985900545,35103.79458037818,94369.22898055773
1,0,64,189699.3763307847,27520.94137399346,128989.65295373109,33188.78200306015,82612.4749349627
1,0,65,199484.70308286056,28976.064102402815,135652.15707012138,34856.48191033637,86936.06500427582
1,0,66,203388.5449725901,29353.512725550878,138716.53555311746,35318.496693921756,87392.75262528769
1,0,67,205175.92060640221,29660.949235946926,139767.8469279132,35747.12444254209,87902.44444010424
1,0,68,198844.41748353347,28849.99075082445,135203.6758063148,34790.750926394234,86056.01613834378
1,0,69,178659.84500986143,25828.20798203696,123875.59930955872,28956.03771826576,82945.71567939907
1,0,70,181920.1312594359,26282.062308170513,124923.1424479635,30714.92650330191,81114.38596440131
1,0,71,190778.67667007417,28120.326642770437,132803.14307317304,29855.206954130692,94966.99213763725
1,0,72,184487.0997799079,26697.995985896232,128552.25463544026,29236.849158571385,88441.20253950816
1,0,73,175412.03819788247,25431.296586561773,122068.22477051568,27912.516840805052,84285.32574718042
1,0,74,228069.16512121435,32948.17648589444,158810.4004561334,36310.588179186525,107561.00234118303
1,0,75,176814.80324529027,25532.94306378116,122320.08079723752,28961.7793842716,81325.83016119534
1,0,76,177395.40933792357,25695.845994775504,122081.92427564539,29617.639067502674,80315.88064611205
1,0,77,168293.7029686955,24451.489348890052,115585.82804669713,28256.38557310831,76516.75964568325
1,0,78,169510.69324436245,24578.52778491826,118262.20512619999,26669.96033324423,82691.38747842066
1,0,79,182499.33991169545,26398.905910663194,126730.38464922992,29370.049351802314,86797.1891723246
1,0,80,215596.89495703415,31127.756645483783,149240.87455344378,35228.263758106565,99427.71872890514
1,0,81,170547.21340836422,24695.829632014964,117716.05628895143,28135.327487397826,78849.52449826243
1,0,82,189730.82406511184,27498.861593086684,130236.91370936841,31995.04876265677,86883.0226699538
1,0,83,170937.17813222337,24796.764733586686,117999.11953878668,28141.293859850004,80530.33105035243
1,0,84,172399.6491130906,25157.207606725748,121880.72850952929,25361.712996835537,90269.95620182817
1,0,85,170348.86262456657,24897.62750152452,119865.13540412957,25586.099718912443,87917.87451504623
1,0,86,176386.93386082322,25919.986671108756,123243.24650384398,27223.700685870477,89487.11354842204
1,0,87,176108.0509238105,25640.51425222112,125413.03087452703,25054.505797062346,94769.90192642139
1,0,88,173968.34662441045,25350.33730616002,122761.22380919658,25856.785509053836,90422.67461968875
1,0,89,180684.0909792556,26222.692948324348,127713.66475661019,26747.73327432106,94011.36098167913
1,0,90,185864.5419246065,27011.785056424975,131117.15712126155,27735.599746919994,95256.01597434348
1,0,91,188611.37228785534,27540.67027332645,132378.67714188877,28692.024872640148,96195.74897381228
1,0,92,171242.20161002403,25020.906706645306,121510.04599997563,24711.24890340311,91104.37040742261
1,0,93,199380.0716859443,28902.298369653006,142261.77924098767,28215.994075303646,106781.6916369068
1,0,94,175199.56761885353,25577.720071118438,124055.85627299306,25565.991274742057,92391.35489941452
1,0,95,185192.61880015922,26970.258476308445,131235.0564384847,26987.303885366087,97008.18958055633
1,0,96,226120.49601124128,32849.77084273364,159133.5953191548,34137.12984935287,114302.39825964005
1,0,97,224785.68788396096,32631.172825894773,157852.5068759212,34302.00818214496,112674.17979805684
1,0,98,224197.717051701,32454.27673933332,157482.99408971652,34260.446222651146,111722.35547556652
1,0,99,225024.12383311178,32560.49531016631,158431.40317044104,34032.22535250442,113252.84419899288
1,0,100,221466.74248020252,31986.632861931103,155512.1556088124,33967.954009459056,110114.19077886929
1,0,101,181112.63762091115,26181.66486730225,126916.73871770078,28014.23403590815,89832.01080963065
1,0,102,184994.74169422392,26786.38769517935,129987.5784871156,28220.77551192897,92977.52966518696
1,0,103,206587.96384377254,29882.827624406746,145910.97323084917,30794.16298851661,105409.78479626281
1,0,104,208600.9929695997,30177.42310078589,147657.05482697822,30766.515041835624,107376.09732990923
1,0,105,192834.68835214886,27697.440571438703,136841.15083582574,28296.096944884404,99900.66861558182
1,0,106,181144.93155391864,26198.964259807326,128950.82233709957,25995.144957011744,95737.0496744593
1,0,107,155737.13863892667,22435.45533583033,110717.79076500797,22583.89253808838,82696.89234293434
1,0,108,219533.02646468327,31705.66792473391,157070.42592455863,30756.93261539074,117694.62070269245
1,0,109,187236.81942231665,26865.149918222472,133999.77599350616,26371.89351058804,100976.83543889753
1,0,110,158866.02038325445,22905.80541417832,111956.02088254805,24004.19408652805,80687.98080638291
1,0,111,178651.5154478458,25840.721098730843,125871.53187607632,26939.262473038663,90571.75474412045
1,0,112,163888.9735946852,23757.660321709744,114599.69730712817,25531.61596584731,81446.388193547
1,0,113,191457.99148371667,27726.35981537865,133716.82384304097,30014.807825297037,94837.518753082
1,0,114,171007.59297109066,24770.731796137363,118369.29630944625,27867.56486550706,81852.7746693946
1,0,115,205056.97565453782,29776.45389381352,140486.0473824797,34794.47437824462,95802.5078815175
1,0,116,146112.5610282708,20869.836405747857,103179.07570481827,22063.6489177047,75264.36266400288
1,0,117,156340.72194223976,22463.31552536071,110116.3804487083,23761.025968170754,79143.63602803001
1,0,118,161400.7869518244,23323.95727915479,112909.1608629973,25167.668809672326,80273.94051632825
1,0,119,158411.3458164447,22863.35456450779,110372.13280318091,25175.858448755982,77409.2551762527
1,0,120,162109.28936507457,23390.310286628108,112057.54372369545,26661.435354751018,77307.53807760979
1,0,121,174492.12582932887,25452.101057887045,119247.5945162684,29792.430255173444,81500.55080655239
1,0,122,151651.10992072686,21718.45326859402,106333.07258013793,23599.58407199489,76096.3366967254
1,0,123,155420.56740177987,22357.168420194947,108794.18458009574,24269.214401489196,77047.3879397124
1,0,124,153017.08611436246,22125.87930382372,105880.71445911586,25010.49235142287,73947.42487785475
1,0,125,154029.57905369104,22159.330727994657,107414.76727369742,24455.481051998948,76020.84553697435
1,0,126,187514.1276187474,27006.040315995597,130628.80493700663,29879.282365745214,92099.91863944221
1,0,127,154844.86228267927,22256.085611818493,108061.11218880508,24527.664482055716,76862.9224621058
1,0,128,154884.25046500034,22352.151885041534,107772.14751650287,24759.951063455894,76595.83639491574
1,0,129,177184.72931936604,25744.18241479315,122069.19787213035,29371.34903244253,85696.70406345084
0,0,130,183514.60563913165,26993.964675547995,124088.94147928446,32431.69948429919,84218.83465330825
0,0,131,172428.41678347817,25323.872066396438,118083.90726056174,29020.637456519988,84373.88692838763
0,0,132,170511.01172351238,25236.442062067505,116316.09318501192,28958.47647643295,83884.4270566633
0,0,133,156520.29340080006,23659.442332776594,105761.89373454868,27098.957333474784,78006.5385642396
0,0,134,138635.82381652738,21245.558034413167,92312.31860448091,25077.947177633294,68405.47683399143
0,0,135,181274.84545031178,26435.026380217678,121901.31163933221,32938.507430761936,76405.81136852088
0,0,136,174743.1417994877,25453.7968611978,117376.18248770529,31913.162450584627,74273.541425059
0,0,137,187469.2770705081,27217.197246485797,126246.36182898915,34005.71799503317,79434.34369464405
0,0,138,168865.96496402347,24683.12182557845,112943.45955387084,31239.383584574185,71894.2932830862
0,0,139,172099.23686945243,25141.440711032672,115196.83064544575,31760.965512974006,73426.56254686067
0,0,140,160456.94772500236,23516.608010421744,106924.21440956935,30016.125305011254,69240.03050004276
0,0,141,149260.62646347372,21913.775387608668,99383.40956671211,27963.441509152926,63991.24904735704
0,0,142,134976.12535408328,19826.973060783224,89691.16111504972,25457.99117825034,58090.56414679572
0,0,143,186630.38677427042,27039.9134108424,125855.08973548382,33735.3836279442,79653.05322254778
0,0,144,182516.67052721416,26452.800077857544,123083.35594138654,32980.51450797007,78230.78543187189
0,0,145,160183.29298507562,23397.869366785188,107101.20385738685,29684.21976090358,70350.19752335508
0,0,146,183416.5513643209,26761.87048303483,123132.7486058785,33521.93227540756,81271.95442389883
0,0,147,178512.615244049,26144.917867152973,120233.04071250267,32134.65666439336,81274.15067211153
0,0,148,179915.3865550754,26230.008120535866,120467.55287111465,33217.82556342489,78566.50437954447
0,0,149,177800.55469302062,25886.702844700827,119113.09016298366,32800.76168533613,77058.88863182315
0,0,150,172360.1991660592,25161.903960343367,115319.95854740756,31878.33665830829,75743.71243442294
0,0,151,160629.6424327266,23548.240771610726,107290.14164091961,29791.26002019625,72635.08027414269
0,0,152,153130.24841567117,22641.675269019524,102120.92660340945,28367.64654324222,69594.39877915685
0,0,153,143302.58933584436,21375.165029704047,95222.22016245793,26705.20414368237,66272.12707919235
0,0,154,162782.80800393532,24255.08803998969,108515.67487071731,30012.04509322833,76018.53114165663
0,0,155,129772.48102336755,19478.5327390761,86207.44305868742,24086.505225604014,61742.39381419765
0,0,156,141462.3175694942,21050.666824376516,93771.42778056263,26640.22296455501,65004.54256241429
0,0,157,162740.7147538167,24012.978483862542,108137.86295572552,30589.873314228644,73624.98993756814
0,0,158,148058.47857808013,21888.495281510735,98251.01733861802,27918.96595795137,66460.69101481179
0,0,159,123204.69955573857,18305.21227785509,81558.46908778617,23341.018190097293,56391.326215622925
0,0,160,128995.21216775218,19262.300440665924,85245.850801306,24487.06092578028,59424.4677706352
0,0,161,121996.06739622395,18140.66197174681,80732.08382336091,23123.32160111623,55840.986403192925
0,0,162,119619.71428794222,17911.035220644328,78974.05608943028,22734.62297786761,55585.200918836126
0,0,163,132268.55637075033,19651.11835148761,87608.27528842741,25009.162730835313,60619.65732726323
0,0,164,122723.90594805426,18389.99536970684,81025.13232138267,23308.778256964735,57122.59830356366
0,0,165,128996.40185241909,19343.63746523272,85365.96959098776,24286.794796198592,61070.0076201216
0,0,166,135798.15446235193,20276.028488185395,90024.7384285481,25497.38754561844,63469.789435922845
0,0,167,154717.00054666208,23365.741273739957,103018.36996836604,28332.889304556105,75101.92194568877
0,0,168,106907.94513121832,17254.972028361623,65354.79238126091,24298.180721595818,48335.466223161755
0,0,169,95283.39171420652,15512.88529085181,58111.11512749961,21659.391295855094,43255.541467171206
0,0,170,87416.13421197957,14442.395227354955,52976.67128380535,19997.067700819265,40011.261353012436
0,0,171,94378.54366271518,15745.166897570361,57134.8979325483,21498.478832596506,44032.50498452618
0,0,172,91346.73553577204,15273.577456772848,55263.932422063735,20809.225656935447,42733.146325883194
0,0,173,106563.12862946399,17952.741648276464,64547.288677828394,24063.098303359133,49922.81805997197
0,0,174,94362.51521609198,15676.45862391805,57149.46352910904,21536.593063064895,43420.953840162525
0,0,175,91979.81704040497,15826.663784462555,55046.681818517376,21106.471437425036,43814.93959391752
0,0,176,107518.46718756338,18377.916631448126,63962.60778296642,25177.942773148832,50661.99330954047
0,0,177,88408.10050677997,14913.3511741039,53371.94604652654,20122.803286149538,41824.56527073979
0,0,178,86153.8810789672,14605.992528692312,51695.35623214474,19852.53231813015,40888.9333907393
0,0,179,92734.7416785351,15785.973017110697,55286.20721784466,21662.56144357974,43481.63988147618
0,0,180,94639.07444789802,15840.05955436266,57103.21479264099,21695.800100894357,44354.5157277945
0,0,181,95621.70156347357,15720.582702886955,57972.92147943612,21928.197381150498,43674.191460234564
0,0,182,110009.62091979868,18393.026318380176,65823.62722991614,25792.967371502367,50780.225873677766
0,0,183,115252.89880883548,18696.201759965486,70208.0144078607,26348.68264100932,51941.36968748501
0,0,184,90776.37612604046,14568.213280571663,55152.36563860407,21055.797206864747,40858.68457334029
0,0,185,113372.73303560798,18355.99130124124,68678.06309575879,26338.67863860797,51190.63905787685
0,0,186,75612.00289250213,13155.812239156417,44418.03689296127,18038.15376038445,36610.991180553596
0,0,187,83585.27805391036,14518.923426027868,49092.18672707997,19974.167900802528,40459.121692365225
0,0,188,71210.00218623449,12606.111993454952,41406.833870477676,17197.05632230186,35638.889173720534
0,0,189,70580.35654964625,12747.462749188511,40794.74199113979,17038.15180931795,36177.135174045485
0,0,190,80945.27939525348,14799.313351105544,46653.08889582632,19492.87714832163,42195.4538420823
0,0,191,74131.34115357598,13290.875506342772,43180.1283417502,17660.337305483026,38124.7021050619
0,0,192,142291.61822535488,22074.192290727424,93020.463259642,27196.96267498545,68180.79962820173
0,0,193,131765.44085889662,20421.009262166124,86105.61052045922,25238.82107627131,63074.75067819148
0,0,194,112145.06336135561,17432.361321444023,72960.89300563814,21751.809034273447,53872.93342872199
0,0,195,135296.23564428455,21077.891243806767,87826.66493967542,26391.679460802363,65476.710661702615
0,0,196,122581.00070834672,19150.11350444235,79701.98860833891,23728.898595565464,59500.1925999981
0,0,197,125185.18470674392,19528.402572467374,81759.33659741942,23897.445536857143,60956.9265766908
1,0,198,138215.6112801104,21619.318336579137,90291.23647995628,26305.056463575005,67410.38785573297
1,0,199,132586.66723325575,20825.51183237426,86187.57488674048,25573.580514141,65411.72413660477
0,0,200,120779.85560108558,18935.841189712904,78439.79753423913,23404.21687713356,59447.80314059428
1,0,201,127946.86071616894,20133.491706801182,82682.7799384807,25130.589070887083,63296.877108981906
1,0,202,147756.0342886385,23256.402827209185,95245.76975931611,29253.861702113187,72773.48513458596
1,0,203,154361.28306504452,24133.102192575927,101215.88892301521,29012.29194945342,77267.70564602534
1,0,204,136166.77191037114,21606.50375191179,87600.7359964097,26959.532162049643,66872.83726569529
1,0,205,154993.62502849204,24710.513991792963,99866.11386081074,30416.997175888315,76238.88218928926
1,0,206,161795.11351490807,25796.511668086983,103718.46111878833,32280.140728032737,79508.5780977737
1,0,207,150782.773286628,24081.343082219937,100999.42974266056,25702.000461747524,77541.86836746616
1,0,208,149778.10890985723,23955.787743440742,100514.00911764677,25308.312048769723,78130.69889261358
1,0,209,145890.86316947822,23063.564607060856,99213.90714713027,23613.391415287108,80045.0207013312
1,0,210,158907.15914008007,25149.49941303503,109138.7632424109,24618.896484634144,88888.98949016789
1,0,211,157339.83310869557,24630.42844875856,109182.51739719039,23526.887262746648,88025.11656875216
1,0,212,145967.11928648927,23176.24857804741,98571.24592767282,24219.624780769038,77467.80516542279
1,0,213,143668.2709760802,22814.205761927748,97286.09013431815,23567.975079834345,77122.30786722379
1,0,214,154816.7332443907,24533.759936922932,105445.29266981954,24837.680637648235,84253.02065938315
1,0,215,145054.35239585344,22870.635717133144,99473.68758569461,22710.029093025667,80063.7072568981
1,0,216,150042.6634586545,23478.801538573156,103000.0912333325,23563.77068674886,80753.11119826947
1,0,217,127602.14765932113,19998.193336377903,87680.49832958404,19923.455993359195,70003.78556281599
1,0,218,132763.53438802998,20720.733669198613,91801.89891897014,20240.901799861214,72933.88832676773
1,0,219,128657.58488181168,20127.376503873227,88691.60454612251,19838.60383181593,71254.54951675356
1,0,220,125738.19876483624,19713.18262544817,86951.53887260013,19073.47726678792,69725.0068003445
1,0,221,140035.24020123074,21825.433291474576,97328.12573176563,20881.681177990555,76886.59915384861
1,0,222,178010.43414931998,28115.835886917866,119630.61039077792,30263.98787162418,91060.80327719061
1,0,223,178816.29851206616,28040.228276102607,121220.51113981222,29555.55909615135,93524.6098755466
1,0,224,157716.3474406288,24902.664695529427,106462.03066232268,26351.652082776705,82628.24703184536
1,0,225,155614.95398418498,24434.52933658636,105931.05907053199,25249.36557706661,82594.85277908132
1,0,226,154431.99629641089,24283.46913476008,105364.23312618052,24784.29403547029,82322.18608084985
1,0,227,159454.17099043197,24897.78152234298,109222.61588980161,25333.773578287386,84321.95949392742
1,0,228,170374.2712180819,26667.941678821924,116955.26372564795,26751.065813612062,91093.63230983171
1,0,229,145356.0449858898,22693.688060890665,100317.77875057948,22344.578174419643,78801.30148017009
1,0,230,154185.53507699026,24020.194590774045,106068.96559207662,24096.374894139564,82166.47163466385
1,0,231,139389.92614521534,21691.962140601874,96721.79798952605,20976.16601508745,76201.37611708524
1,0,232,141454.7645255978,22008.092128959546,98211.81109819659,21234.861298441672,77183.30060323775
1,0,233,141776.57961417915,21897.216978559696,98807.28134404855,21072.081291570914,76629.48043292887
1,0,234,141468.41914709308,21941.79421774252,98214.99766571025,21311.62726364028,76524.09246558402
1,0,235,142981.265619539,22161.1239725558,99048.07922107875,21772.062425904423,76708.42124794413
1,1,236,142369.22416902173,21956.540902090586,99190.53231056879,21222.15095636235,77218.6659872554
1,1,237,144018.44127530977,22175.516647723165,100510.03021185094,21332.89441573566,78278.49201116861
1,0,238,177318.29521201877,27225.912446941595,121919.9244075195,28172.45835755767,93096.50106593654
1,0,239,177693.55435048862,27806.223605981228,120195.04251542318,29692.288229084203,90685.29775764013
1,0,240,155814.0331534495,24433.900030106368,105023.67672583429,26356.45639750886,79187.06850779083
1,0,241,178585.03675113205,27861.77859066805,121336.76897262862,29386.48918783543,91880.02699754192
